,zip,num_complaints,num_food_est,num_food_poi,num_smoking
0,10001,898,612,244,31
1,10002,846,597,176,65
2,10003,1303,856,371,56
3,10004,171,124,40,2
4,10005,81,59,18,0
5,10006,77,58,18,1
6,10007,271,159,88,19
7,10009,540,352,131,46
8,10010,479,330,133,11
9,10011,964,588,319,41
10,10012,677,450,174,41
11,10013,951,640,231,71
12,10014,697,458,161,65
13,10016,928,627,273,21
14,10017,647,425,194,22
15,10018,627,461,156,3
16,10019,1148,758,346,22
17,10020,49,28,19,2
18,10021,371,250,102,15
19,10022,795,525,222,37
20,10023,573,397,156,11
21,10024,606,428,161,8
22,10025,605,428,156,11
23,10026,261,199,52,5
24,10027,498,369,119,4
25,10028,498,358,120,15
26,10029,544,409,121,7
27,10030,106,67,35,3
28,10031,293,227,62,1
29,10032,259,187,64,3
30,10033,266,169,92,4
31,10034,282,198,52,29
32,10035,291,209,72,2
33,10036,963,621,290,38
34,10037,116,79,36,1
35,10038,409,316,80,5
36,10039,114,90,20,3
37,10040,170,124,34,11
38,10044,23,16,6,1
39,10065,302,205,88,6
40,10069,12,12,0,0
41,10075,243,185,55,3
42,10103,3,2,1,0
43,10111,3,0,3,0
44,10112,14,9,5,0
45,10119,5,4,0,1
46,10123,1,1,0,0
47,10128,368,280,70,11
48,10280,39,31,7,0
49,10281,16,11,4,1
50,10282,25,14,11,0
51,10301,219,151,62,4
52,10302,196,133,61,0
53,10303,107,70,33,3
54,10304,146,91,49,5
55,10305,232,172,53,7
56,10306,242,171,63,5
57,10307,86,73,12,1
58,10308,95,71,22,2
59,10309,117,81,30,3
60,10310,156,120,35,1
61,10312,146,115,28,1
62,10314,454,307,126,14
63,10412,1,1,0,0
64,10451,291,204,83,2
65,10452,224,156,65,2
66,10453,216,145,67,2
67,10454,137,97,40,0
68,10455,221,163,56,0
69,10456,208,151,55,1
70,10457,180,127,52,1
71,10458,438,313,81,39
72,10459,196,150,46,0
73,10460,141,94,47,0
74,10461,346,248,70,28
75,10462,486,365,106,12
76,10463,323,215,96,8
77,10464,113,77,28,7
78,10465,124,76,35,12
79,10466,167,128,34,4
80,10467,453,285,140,26
81,10468,254,166,78,10
82,10469,270,168,64,38
83,10470,52,29,7,16
84,10471,87,56,29,2
85,10472,191,136,52,3
86,10473,148,112,36,0
87,10474,42,34,7,1
88,10475,190,131,59,0
89,11001,1,0,0,1
90,11003,1,0,0,1
91,11004,99,81,18,0
92,11005,11,10,1,0
93,11021,1,0,1,0
94,11027,1,0,1,0
95,11040,32,20,11,1
96,11101,481,341,89,47
97,11102,201,127,44,27
98,11103,439,268,90,78
99,11104,178,108,59,9
100,11105,258,173,48,36
101,11106,580,203,80,292
102,11109,3,3,0,0
103,11201,848,602,214,21
104,11203,252,184,62,4
105,11204,290,214,56,18
106,11205,288,204,74,8
107,11206,287,205,72,7
108,11207,455,344,103,5
109,11208,271,184,82,3
110,11209,552,396,118,35
111,11210,149,117,32,0
112,11211,566,405,121,35
113,11212,332,239,90,2
114,11213,400,302,79,10
115,11214,466,300,129,36
116,11215,545,376,150,17
117,11216,463,360,93,9
118,11217,503,328,148,24
119,11218,384,269,81,29
120,11219,245,158,72,13
121,11220,583,345,162,73
122,11221,284,222,59,3
123,11222,368,266,77,19
124,11223,379,259,85,31
125,11224,264,172,88,3
126,11225,189,143,44,1
127,11226,463,323,133,4
128,11228,118,90,26,2
129,11229,355,248,81,23
130,11230,305,214,80,10
131,11231,279,215,42,17
132,11232,115,97,15,1
133,11233,235,166,64,2
134,11234,366,275,81,9
135,11235,678,463,163,47
136,11236,257,200,56,0
137,11237,222,165,51,5
138,11238,377,259,90,25
139,11239,72,42,30,0
140,11241,1,0,0,0
141,11242,2,2,0,0
142,11249,140,95,34,10
143,11354,662,435,154,62
144,11355,473,320,91,57
145,11356,160,114,28,7
146,11357,99,74,20,5
147,11358,201,111,37,49
148,11360,78,65,12,0
149,11361,198,127,48,21
150,11362,82,60,20,2
151,11363,34,19,12,2
152,11364,111,70,40,1
153,11365,109,73,34,2
154,11366,109,77,31,1
155,11367,154,104,50,0
156,11368,286,217,56,5
157,11369,109,76,33,0
158,11370,37,29,8,0
159,11371,2,1,0,0
160,11372,606,395,187,15
161,11373,390,276,94,16
162,11374,243,165,71,4
163,11375,505,353,135,13
164,11377,357,245,92,18
165,11378,200,138,42,17
166,11379,107,79,23,5
167,11385,453,332,78,38
168,11411,45,34,9,1
169,11412,85,61,22,0
170,11413,90,70,20,0
171,11414,249,180,56,12
172,11415,105,56,42,7
173,11416,123,83,34,6
174,11417,154,109,41,4
175,11418,196,142,48,5
176,11419,300,213,77,7
177,11420,148,112,31,3
178,11421,108,81,26,1
179,11422,78,58,19,0
180,11423,54,37,17,0
181,11426,62,46,15,0
182,11427,53,34,18,0
183,11428,48,33,13,2
184,11429,39,22,16,1
185,11430,45,26,17,0
186,11432,457,335,116,2
187,11433,90,66,22,1
188,11434,227,165,62,0
189,11435,249,163,78,6
190,11436,52,41,11,0
191,11559,3,2,1,0
192,11581,2,1,1,0
193,11691,160,128,31,1
194,11692,21,11,10,0
195,11693,64,46,13,4
196,11694,102,72,27,2
197,11697,5,2,2,0
