,zip,num_restaurants,num_violations,num_Cviolations,avg_score
0,10001,512,8364,4630,14.39404432132964
1,10002,471,9413,5330,16.722853087295956
2,10003,683,13756,7677,16.139243498817965
3,10004,136,2300,1286,14.689961880559085
4,10005,67,1255,711,15.679518072289156
5,10006,42,978,573,16.50326797385621
6,10007,136,2326,1294,15.152368758002561
7,10009,301,6071,3302,15.732047159699892
8,10010,265,4888,2790,16.113183279742767
9,10011,460,8859,5057,15.433286516853933
10,10012,396,7959,4415,15.668774703557313
11,10013,482,10759,6253,17.11850699844479
12,10014,442,8590,4854,15.876483679525222
13,10015,1,2,1,7.0
14,10016,446,9394,5480,16.65383281304197
15,10017,342,6934,3997,16.162906137184116
16,10018,333,6515,3755,16.41136474016513
17,10019,679,12143,6901,15.30914983794565
18,10020,48,636,346,12.153846153846153
19,10021,148,3312,1872,16.332329317269075
20,10022,474,9118,5192,15.468034993270525
21,10023,194,3336,1847,14.561497326203208
22,10024,197,4082,2368,16.333069620253166
23,10025,232,5022,2850,17.061569688768607
24,10026,74,1567,881,17.35217391304348
25,10027,172,2738,1529,16.069124423963135
26,10028,206,3969,2202,15.733708769106999
27,10029,211,3882,2243,16.61608623548922
28,10030,42,587,300,14.446601941747574
29,10031,102,1956,1095,16.238172920065253
30,10032,114,2332,1363,17.266943291839556
31,10033,118,2283,1280,16.490593342981185
32,10034,107,2086,1137,16.42258064516129
33,10035,81,1468,802,15.681917211328976
34,10036,605,11197,6316,15.775617883921132
35,10037,33,676,368,17.565656565656564
36,10038,188,3296,1897,16.418803418803417
37,10039,33,551,314,15.87709497206704
38,10040,75,1348,754,16.56563245823389
39,10041,1,2,1,11.0
40,10044,8,85,44,12.314285714285715
41,10048,1,3,1,5.5
42,10055,1,2,2,3.25
43,10057,1,20,14,17.0
44,10065,178,3532,1970,15.609472743521001
45,10069,4,93,58,17.586206896551722
46,10075,97,2064,1199,16.155864197530864
47,10103,3,44,23,18.357142857142858
48,10104,4,55,34,17.05263157894737
49,10105,2,29,18,10.928571428571429
50,10106,2,20,8,9.555555555555555
51,10107,1,5,2,9.0
52,10110,1,9,3,8.0
53,10111,5,87,50,17.966666666666665
54,10112,18,191,98,10.146067415730338
55,10118,6,61,31,11.346153846153847
56,10119,21,257,135,14.494505494505495
57,10121,17,132,73,9.042857142857143
58,10122,1,22,14,15.571428571428571
59,10123,2,27,11,16.428571428571427
60,10128,161,3233,1808,16.46747967479675
61,10153,4,24,15,12.076923076923077
62,10154,1,11,5,13.75
63,10155,1,2,1,8.0
64,10165,1,9,6,14.333333333333334
65,10166,1,11,8,12.833333333333334
66,10167,3,16,7,8.875
67,10168,4,28,12,10.692307692307692
68,10169,21,33,13,5.964285714285714
69,10170,2,25,11,13.285714285714286
70,10171,2,10,2,6.2
71,10172,1,4,2,8.5
72,10173,1,7,1,5.25
73,10174,3,18,6,7.777777777777778
74,10175,2,27,17,14.0
75,10176,1,24,11,15.875
76,10179,1,5,1,6.0
77,10279,1,1,0,2.0
78,10280,10,174,105,14.516666666666667
79,10281,25,160,84,11.084507042253522
80,10282,17,188,92,12.012820512820513
81,10285,2,45,26,18.846153846153847
82,10301,101,1569,878,15.00188679245283
83,10302,69,1172,664,16.70027247956403
84,10303,37,748,420,17.066964285714285
85,10304,59,1041,583,17.973063973063972
86,10305,95,1624,873,15.464761904761906
87,10306,114,1734,955,14.637755102040817
88,10307,30,402,233,14.127659574468085
89,10308,57,1014,546,15.541538461538462
90,10309,77,1248,733,15.313397129186603
91,10310,57,990,551,17.21201413427562
92,10311,1,20,12,18.6
93,10312,77,1268,756,16.086746987951805
94,10314,183,3176,1831,16.019588638589617
95,10317,1,11,4,15.666666666666666
96,10451,161,2484,1337,14.25626423690205
97,10452,101,2036,1142,16.17001545595054
98,10453,88,1915,1057,16.101328903654483
99,10454,68,1570,887,15.445328031809145
100,10455,95,1900,1049,15.767857142857142
101,10456,94,1742,959,15.013913043478261
102,10457,89,1581,818,15.033009708737865
103,10458,192,3574,1980,15.836395450568679
104,10459,72,1455,806,15.071868583162217
105,10460,69,1067,548,13.929503916449086
106,10461,154,2547,1398,14.710247349823321
107,10462,151,2662,1444,14.942437923250564
108,10463,130,2238,1241,14.906666666666666
109,10464,37,791,421,17.21818181818182
110,10465,80,1436,758,15.068965517241379
111,10466,90,1789,987,15.357264957264958
112,10467,162,2847,1545,15.169329073482428
113,10468,103,2023,1093,15.708141321044547
114,10469,89,1850,1027,16.480274442538594
115,10470,47,867,466,15.10958904109589
116,10471,46,716,395,13.775100401606426
117,10472,106,1934,1067,14.992101105845181
118,10473,30,573,329,15.588541666666666
119,10474,38,689,379,14.446902654867257
120,10475,58,831,467,14.807692307692308
121,10605,1,17,13,14.833333333333334
122,11001,2,40,20,16.916666666666668
123,11004,30,660,377,16.76847290640394
124,11005,2,41,28,21.5
125,11040,18,418,230,17.42622950819672
126,11101,263,5079,2849,15.593556381660472
127,11102,86,1489,844,15.479674796747968
128,11103,210,4127,2257,15.41072796934866
129,11104,109,2215,1238,16.661742983751846
130,11105,129,2537,1431,15.446191051995163
131,11106,164,3453,1944,15.897506925207756
132,11109,7,115,60,15.583333333333334
133,11201,349,6302,3509,14.930221366698749
134,11203,141,2851,1586,16.214446952595935
135,11204,123,2668,1522,17.067924528301887
136,11205,139,2801,1563,15.472625698324022
137,11206,154,2757,1539,15.653846153846153
138,11207,141,2688,1497,15.809414466130884
139,11208,111,2446,1401,16.867374005305038
140,11209,260,4684,2509,15.029683377308707
141,11210,89,1553,842,15.721021611001964
142,11211,375,7305,3978,15.354248366013072
143,11212,108,2038,1119,15.984567901234568
144,11213,87,1789,1003,16.91941391941392
145,11214,182,3587,2044,16.7207615593835
146,11215,349,6885,3870,15.8758109360519
147,11216,165,3007,1672,16.453772582359193
148,11217,257,4380,2385,13.944809461235216
149,11218,140,3113,1771,17.45503791982665
150,11219,107,2217,1233,16.343065693430656
151,11220,311,6964,4128,18.317729083665338
152,11221,110,1831,992,16.345878136200717
153,11222,200,3578,1974,15.653275109170306
154,11223,184,3357,1821,15.795860771401694
155,11224,84,1186,611,14.139949109414758
156,11225,116,1867,1036,15.251223491027732
157,11226,190,3961,2183,16.442105263157895
158,11228,57,1029,576,14.776811594202899
159,11229,133,2736,1538,16.612366230677765
160,11230,105,2288,1289,16.860795454545453
161,11231,158,2791,1548,14.66595289079229
162,11232,107,2123,1224,16.90701219512195
163,11233,69,1080,596,16.345238095238095
164,11234,148,2507,1341,14.304556354916068
165,11235,175,3312,1836,15.747093023255815
166,11236,113,2058,1120,15.645990922844176
167,11237,193,3571,2003,16.45685740236149
168,11238,250,4278,2340,15.213556851311953
169,11239,15,124,72,12.8125
170,11242,1,36,18,18.2
171,11249,165,2962,1609,15.77995642701525
172,11256,1,6,3,10.0
173,11352,1,23,17,25.166666666666668
174,11354,394,8113,4925,18.11954697986577
175,11355,203,4427,2665,18.102861562258315
176,11356,51,879,495,14.482993197278912
177,11357,66,1156,633,14.518134715025907
178,11358,143,2839,1598,16.09318181818182
179,11360,25,490,266,15.096153846153847
180,11361,116,2037,1097,14.931445603576751
181,11362,49,956,547,16.26101694915254
182,11363,14,252,136,14.822784810126583
183,11364,50,1035,600,15.608308605341247
184,11365,45,763,408,14.698841698841699
185,11366,61,1076,582,15.94186046511628
186,11367,56,1054,600,15.584795321637428
187,11368,296,5773,3247,16.326587970770095
188,11369,85,1571,851,14.351449275362318
189,11370,27,549,302,14.88888888888889
190,11371,35,356,188,12.89051094890511
191,11372,324,7556,4354,17.23056419369169
192,11373,223,4714,2720,16.886993603411515
193,11374,90,1621,941,15.863013698630137
194,11375,191,3784,2106,15.389568052159738
195,11377,213,4305,2367,16.40091116173121
196,11378,78,1544,871,15.3313373253493
