,zip,bar_score,bar_revcount,rest_score,rest_revcount,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
0,10001,4.075,384.35,4.15,549.55,898.0,612.0,244.0,31.0,511.0,8186.0,4533.0,175.0,7.0,16.0,44.0,12.0,4.0,6.0,20.0,3.0,13.863146926
1,10002,4.25,246.05,4.3,582.45,846.0,597.0,176.0,65.0,473.0,9114.0,5174.0,124.0,96.0,13.0,32.0,12.0,12.0,13.0,23.0,6.0,16.0274411974
2,10003,4.2,358.9,4.225,1148.1,1303.0,856.0,371.0,56.0,684.0,13481.0,7517.0,187.0,16.0,67.0,53.0,41.0,7.0,27.0,25.0,3.0,15.4553171422
3,10004,3.85,198.5,4.025,262.9,171.0,124.0,40.0,2.0,137.0,2261.0,1263.0,42.0,2.0,3.0,15.0,6.0,2.0,4.0,6.0,0.0,14.0225281602
4,10005,3.825,209.25,4.05,304.7,81.0,59.0,18.0,0.0,66.0,1254.0,715.0,27.0,1.0,3.0,8.0,4.0,0.0,0.0,3.0,0.0,15.3899521531
5,10006,3.9,174.45,4.075,252.7,77.0,58.0,18.0,1.0,43.0,977.0,571.0,20.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,15.8814102564
6,10007,4.075,275.25,4.2,475.6,271.0,159.0,88.0,19.0,133.0,2273.0,1260.0,47.0,1.0,6.0,13.0,5.0,0.0,4.0,6.0,1.0,14.6839378238
7,10009,4.275,423.35,4.325,510.3,540.0,352.0,131.0,46.0,300.0,5962.0,3233.0,106.0,11.0,17.0,14.0,13.0,11.0,8.0,16.0,7.0,15.1057692308
8,10010,4.225,202.3,4.275,516.55,479.0,330.0,133.0,11.0,261.0,4710.0,2689.0,87.0,10.0,6.0,27.0,20.0,2.0,8.0,9.0,0.0,15.2050290135
9,10011,4.025,314.8,4.15,611.35,964.0,588.0,319.0,41.0,466.0,8741.0,4990.0,156.0,11.0,26.0,35.0,33.0,5.0,15.0,23.0,14.0,14.8799164636
10,10012,4.225,263.5,4.3,789.5,677.0,450.0,174.0,41.0,394.0,7872.0,4351.0,127.0,4.0,23.0,31.0,41.0,6.0,14.0,15.0,4.0,15.1243624951
11,10013,4.15,333.95,4.325,651.85,951.0,640.0,231.0,71.0,482.0,10509.0,6092.0,112.0,78.0,18.0,45.0,56.0,4.0,6.0,9.0,1.0,16.4342803622
12,10014,4.175,385.95,4.175,874.4,697.0,458.0,161.0,65.0,447.0,8388.0,4725.0,138.0,7.0,16.0,35.0,43.0,5.0,11.0,17.0,8.0,15.1774313289
13,10015,4.05,275.9,4.225,297.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
14,10016,4.125,262.4,4.25,566.15,928.0,627.0,273.0,21.0,450.0,9027.0,5238.0,127.0,17.0,31.0,28.0,21.0,2.0,12.0,18.0,1.0,15.7531468531
15,10017,3.875,277.45,4.1,413.75,647.0,425.0,194.0,22.0,343.0,6738.0,3872.0,110.0,9.0,28.0,39.0,19.0,1.0,7.0,12.0,2.0,15.4055153707
16,10018,4.15,342.7,4.125,511.3,627.0,461.0,156.0,3.0,336.0,6341.0,3650.0,127.0,11.0,10.0,26.0,12.0,3.0,4.0,13.0,1.0,15.7206595538
17,10019,4.15,307.4,4.15,620.2,1148.0,758.0,346.0,22.0,679.0,11892.0,6745.0,275.0,14.0,36.0,37.0,42.0,7.0,17.0,26.0,0.0,14.7229965157
18,10020,4.075,202.35,4.15,1167.8,49.0,28.0,19.0,2.0,47.0,623.0,339.0,27.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,11.8875968992
19,10021,4.125,189.75,4.2,399.4,371.0,250.0,102.0,15.0,150.0,3249.0,1839.0,40.0,6.0,10.0,12.0,20.0,1.0,3.0,5.0,0.0,15.7208374875
20,10022,4.05,291.45,4.275,714.6,795.0,525.0,222.0,37.0,467.0,8801.0,5012.0,175.0,13.0,30.0,30.0,33.0,1.0,7.0,12.0,2.0,14.9139526911
21,10023,3.95,154.15,4.0,460.35,573.0,397.0,156.0,11.0,196.0,3286.0,1817.0,61.0,3.0,4.0,17.0,17.0,1.0,4.0,9.0,1.0,14.1897940913
22,10024,4.1,173.4,4.075,591.55,606.0,428.0,161.0,8.0,194.0,3821.0,2223.0,47.0,7.0,11.0,18.0,20.0,4.0,4.0,8.0,0.0,15.489291598
23,10025,4.025,138.7,4.25,248.5,605.0,428.0,156.0,11.0,237.0,4992.0,2813.0,45.0,14.0,10.0,16.0,9.0,7.0,9.0,18.0,1.0,16.4264705882
24,10026,3.775,166.25,4.175,272.55,261.0,199.0,52.0,5.0,75.0,1544.0,868.0,23.0,5.0,0.0,5.0,2.0,0.0,2.0,3.0,2.0,16.5939524838
25,10027,3.95,161.4,4.175,361.55,498.0,369.0,119.0,4.0,171.0,2700.0,1507.0,50.0,11.0,5.0,13.0,5.0,4.0,1.0,7.0,2.0,15.4538198404
26,10028,4.175,195.3,4.225,386.45,498.0,358.0,120.0,15.0,209.0,3887.0,2162.0,58.0,5.0,14.0,12.0,19.0,1.0,7.0,12.0,1.0,15.2292682927
27,10029,4.2,168.9,4.5,200.3,544.0,409.0,121.0,7.0,210.0,3731.0,2163.0,29.0,26.0,3.0,7.0,4.0,12.0,22.0,20.0,5.0,15.864321608
28,10030,3.9,112.2,4.175,95.9,106.0,67.0,35.0,3.0,44.0,586.0,299.0,6.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,14.0523809524
29,10031,4.05,98.5,4.225,227.5,293.0,227.0,62.0,1.0,103.0,1948.0,1089.0,19.0,11.0,1.0,5.0,6.0,6.0,8.0,7.0,7.0,15.5383386581
30,10032,3.925,126.9,4.25,118.15,259.0,187.0,64.0,3.0,117.0,2274.0,1317.0,21.0,13.0,0.0,5.0,2.0,18.0,5.0,10.0,7.0,16.3176144244
31,10033,3.875,144.9,4.275,148.15,266.0,169.0,92.0,4.0,116.0,2226.0,1235.0,9.0,11.0,1.0,2.0,1.0,18.0,5.0,14.0,15.0,15.7666666667
32,10034,3.7,150.8,4.15,146.25,282.0,198.0,52.0,29.0,104.0,2007.0,1090.0,23.0,6.0,1.0,2.0,1.0,25.0,8.0,7.0,9.0,15.7677100494
33,10035,4.325,113.95,4.4,132.4,291.0,209.0,72.0,2.0,81.0,1432.0,779.0,18.0,9.0,1.0,2.0,5.0,4.0,4.0,7.0,4.0,15.0544662309
34,10036,4.125,324.4,4.15,737.75,963.0,621.0,290.0,38.0,611.0,11003.0,6174.0,263.0,11.0,17.0,38.0,36.0,7.0,15.0,18.0,5.0,15.1906873614
35,10037,4.025,95.3,4.175,155.8,116.0,79.0,36.0,1.0,33.0,675.0,366.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,16.6
36,10038,4.1,222.3,4.175,411.0,409.0,316.0,80.0,5.0,182.0,3234.0,1861.0,53.0,11.0,6.0,15.0,8.0,1.0,5.0,6.0,2.0,15.4521575985
37,10039,3.825,97.65,4.3,56.7,114.0,90.0,20.0,3.0,33.0,541.0,306.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,15.2833333333
38,10040,3.75,121.45,4.025,165.95,170.0,124.0,34.0,11.0,77.0,1323.0,740.0,9.0,5.0,0.0,1.0,2.0,15.0,3.0,6.0,10.0,15.476744186
39,10041,3.65,174.45,3.85,273.2,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
40,10044,4.075,175.6,4.2,409.45,23.0,16.0,6.0,1.0,8.0,85.0,44.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.8
41,10048,4.1,245.55,4.225,498.55,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
42,10055,3.85,176.05,4.05,236.2,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25
