,rating,review_count
10001,4.0,283
10002,4.26923076923,182
10003,4.06666666667,375
10004,3.77272727273,266
10005,4.0,70
10006,3.83333333333,167
10007,3.875,184
10009,4.36363636364,210
10010,4.21428571429,138
10011,4.0,296
10012,4.19230769231,235
10013,4.11538461538,317
10014,4.05,405
10015,0.0,0
10016,4.15,314
10017,3.8125,310
10018,4.0,254
10019,4.09090909091,314
10020,4.0,163
10021,4.07142857143,186
10022,3.9375,270
10023,3.88888888889,178
10024,4.05,153
10025,4.04545454545,108
10026,3.72222222222,167
10027,3.66666666667,104
10028,4.05555555556,171
10029,4.22222222222,137
10030,4.33333333333,82
10031,3.95,143
10032,3.33333333333,210
10033,4.0,92
10034,3.58333333333,199
10035,4.5,89
10036,4.16666666667,340
10037,4.0,44
10038,4.15,127
10039,4.5,35
10040,3.57142857143,106
10041,0.0,0
10044,3.5,137
10048,0.0,0
10055,0.0,0
10057,0.0,0
10065,4.21428571429,205
10069,0.0,0
10075,4.0,214
10103,0.0,0
10104,0.0,0
10105,0.0,0
10106,0.0,0
10107,0.0,0
10110,0.0,0
10111,0.0,0
10112,4.0,140
10118,0.0,0
10119,4.0,176
10121,4.0,22
10122,0.0,0
10123,0.0,0
10128,4.0625,213
10153,0.0,0
10154,0.0,0
10155,0.0,0
10165,0.0,0
10166,3.0,72
10167,0.0,0
10168,0.0,0
10169,3.5,97
10170,0.0,0
10171,0.0,0
10172,0.0,0
10173,0.0,0
10174,0.0,0
10175,0.0,0
10176,4.0,326
10179,0.0,0
10199,0.0,0
10279,0.0,0
10280,3.5,36
10281,3.35714285714,104
10282,3.5,261
10285,0.0,0
10301,3.9375,67
10302,3.625,25
10303,3.75,34
10304,3.8,50
10305,4.125,42
10306,4.0,9
10307,3.27777777778,14
10308,3.45454545455,45
10309,3.3,83
10310,3.875,43
10311,0.0,0
10312,3.875,18
10314,3.75,50
10317,0.0,0
10451,3.5,65
10452,3.25,30
10453,0.0,0
10454,4.16666666667,76
10455,4.16666666667,10
10456,0.0,0
10457,3.25,2
10458,3.72222222222,33
10459,0.0,0
10460,0.0,0
10461,3.96666666667,28
10462,3.5625,29
10463,3.7,100
10464,4.0,14
10465,3.42857142857,40
10466,0.0,0
10467,4.0,32
10468,4.0,88
10469,3.5,38
10470,3.42857142857,15
10471,3.8,62
10472,4.0,18
10473,5.0,2
10474,0.0,0
10475,2.75,37
10528,3.875,32
10605,3.83333333333,69
11001,4.0,36
11004,0.0,0
11005,0.0,0
11040,3.88888888889,62
11101,4.27272727273,123
11102,4.2,155
11103,4.18181818182,231
11104,3.75,102
11105,4.1,63
11106,4.1875,136
11109,3.625,236
11201,3.85714285714,170
11203,4.33333333333,27
11204,3.75,20
11205,4.16666666667,118
11206,4.15,103
11207,4.875,14
11208,4.0,9
11209,3.97368421053,80
11210,3.16666666667,55
11211,4.41666666667,99
11212,3.5,2
11213,0.0,0
11214,4.25,37
11215,4.14705882353,170
11216,4.21428571429,33
11217,4.30769230769,123
11218,4.1875,117
11219,3.5,66
11220,4.0,31
11221,4.3125,45
11222,4.14705882353,151
11223,3.68181818182,26
11224,3.66666666667,55
11225,4.125,58
11226,3.83333333333,17
11228,4.5,6
11229,4.25,46
11230,3.83333333333,120
11231,4.19444444444,93
11232,3.9,29
11233,4.125,54
11234,4.25,45
11235,3.55555555556,37
11236,3.0,25
11237,4.23333333333,73
11238,4.21052631579,81
11239,2.6,105
11242,0.0,0
11249,4.21428571429,201
11256,0.0,0
11352,0.0,0
11354,4.27777777778,38
11355,4.08333333333,9
11356,3.77777777778,25
11357,4.16666666667,22
11358,4.04545454545,19
11360,0.0,0
11361,3.73529411765,120
11362,3.75,32
11363,4.5,8
11364,3.5,21
11365,3.33333333333,122
11366,2.5,46
11367,3.625,26
11368,3.8,39
11369,3.25,25
11370,4.0,34
11371,4.5,54
11372,3.875,50
11373,3.33333333333,54
11374,3.5,127
11375,4.0,191
11377,4.0,93
11378,4.0,20
11379,4.16666666667,39
11385,4.5,20
11411,2.5,4
11412,1.0,1
11413,4.0,1
11414,3.75,68
11415,3.25,107
11416,4.0,3
11417,4.625,10
11418,4.07142857143,22
11419,3.625,8
11420,3.16666666667,99
11421,4.125,28
11422,3.25,34
11423,3.33333333333,2
11426,3.5,36
11427,4.5,38
11428,2.75,26
11429,2.5,2
11430,3.5,37
11432,3.25,17
11433,0.0,0
11434,3.75,11
11435,4.25,37
11436,3.5,19
11451,0.0,0
11691,0.0,0
11692,0.0,0
11693,4.25,50
11694,3.66666666667,32
11697,3.25,18
